2026-09-02 03:18:07,879 | INFO | Starting training workflow
2026-09-02 03:18:07,880 | INFO | Config loaded from day1/03_production_training/scripts/config.yaml
2026-09-02 03:18:08,239 | INFO | Training complete. Metrics: {'accuracy': 0.73, 'precision': 0.6666666666666666, 'recall': 0.45714285714285713, 'f1': 0.5423728813559322, 'classification_report': {'0': {'precision': 0.75, 'recall': 0.8769230769230769, 'f1-score': 0.8085106382978723, 'support': 130.0}, '1': {'precision': 0.6666666666666666, 'recall': 0.45714285714285713, 'f1-score': 0.5423728813559322, 'support': 70.0}, 'accuracy': 0.73, 'macro avg': {'precision': 0.7083333333333333, 'recall': 0.667032967032967, 'f1-score': 0.6754417598269022, 'support': 200.0}, 'weighted avg': {'precision': 0.7208333333333333, 'recall': 0.73, 'f1-score': 0.7153624233681932, 'support': 200.0}}}
2026-09-02 03:18:15,538 | INFO | Starting training workflow
2026-09-02 03:18:15,540 | INFO | Config loaded from day1/03_production_training/scripts/config.yaml
2026-09-02 03:18:15,767 | INFO | Training complete. Metrics: {'accuracy': 0.73, 'precision': 0.6666666666666666, 'recall': 0.45714285714285713, 'f1': 0.5423728813559322, 'classification_report': {'0': {'precision': 0.75, 'recall': 0.8769230769230769, 'f1-score': 0.8085106382978723, 'support': 130.0}, '1': {'precision': 0.6666666666666666, 'recall': 0.45714285714285713, 'f1-score': 0.5423728813559322, 'support': 70.0}, 'accuracy': 0.73, 'macro avg': {'precision': 0.7083333333333333, 'recall': 0.667032967032967, 'f1-score': 0.6754417598269022, 'support': 200.0}, 'weighted avg': {'precision': 0.7208333333333333, 'recall': 0.73, 'f1-score': 0.7153624233681932, 'support': 200.0}}}
2026-09-09 01:01:37,944 | INFO | Starting training workflow
2026-09-09 01:01:37,944 | INFO | Config loaded from day1/03_production_training/scripts/config.yaml
2026-09-09 01:01:37,972 | INFO | Training complete. Metrics: {'accuracy': 0.73, 'precision': 0.6666666666666666, 'recall': 0.45714285714285713, 'f1': 0.5423728813559322, 'classification_report': {'0': {'precision': 0.75, 'recall': 0.8769230769230769, 'f1-score': 0.8085106382978723, 'support': 130.0}, '1': {'precision': 0.6666666666666666, 'recall': 0.45714285714285713, 'f1-score': 0.5423728813559322, 'support': 70.0}, 'accuracy': 0.73, 'macro avg': {'precision': 0.7083333333333333, 'recall': 0.667032967032967, 'f1-score': 0.6754417598269022, 'support': 200.0}, 'weighted avg': {'precision': 0.7208333333333333, 'recall': 0.73, 'f1-score': 0.7153624233681932, 'support': 200.0}}}
